optimizer,graph_id,p,energy,prob_opt,time,nit,nfev
ADAM,0,1,-4.042657964470437,0.0033010918872200964,2.230293166008778,77,77
ADAM,0,2,-4.984442925182614,0.0049307995501456795,3.469115542015061,86,86
ADAM,0,3,-8.003746632705253,0.8892715941022271,3.3549398749601096,64,64
ADAM,0,4,-8.310924526371316,0.9189862865458215,4.196537957992405,65,65
ADAM,0,5,-8.968187847844732,0.9951670199909083,10.01117425004486,132,132
ADAM,0,6,-8.363902142730888,0.9239205500575728,6.623562459019013,76,76
ADAM,0,7,-8.344279980068697,0.9222507332252332,6.8155143330805,69,69
ADAM,0,8,-8.475252063119218,0.925810040480056,10.03731141705066,90,90
ADAM,0,9,-8.96418955931568,0.9930605575265026,12.988749499898404,105,105
ADAM,0,10,-8.963427515767707,0.9943681663666589,10.768885832978413,80,80
ADAM,0,11,-8.992961551232558,0.9989033376336572,19.513884000014514,133,133
ADAM,0,12,-8.980651093240184,0.9955894423402438,12.978566166944802,82,82
ADAM,0,13,-8.934474168769196,0.993686104581341,18.506934667006135,108,108
ADAM,0,14,-8.958520937982108,0.9940292607471223,20.88095720799174,114,114
ADAM,0,15,-8.982272388721968,0.9974728626749654,15.919570125057362,82,82
ADAM,1,1,-3.030463121841304,0.07270124174661861,1.8642533330712467,65,65
ADAM,1,2,-3.994938656049566,0.2897316053834548,2.980670166085474,75,75
ADAM,1,3,-4.134268030696953,0.34270234646808023,3.3175124170957133,65,65
ADAM,1,4,-4.4776051071997305,0.5972423737556849,4.860198708018288,78,78
ADAM,1,5,-4.472746938264708,0.6242636377049741,2.9118959580082446,40,40
ADAM,1,6,-4.750292605275388,0.7949931944232353,6.658446875051595,79,79
ADAM,1,7,-4.783529845619645,0.822492868930497,6.219830416957848,65,65
ADAM,1,8,-4.689828120330481,0.7475853599024549,5.146494208020158,48,48
ADAM,1,9,-4.806396327392763,0.8353778098491236,7.673931124969386,65,65
ADAM,1,10,-4.8838617615863305,0.9019992996113464,31.13869558298029,240,240
ADAM,1,11,-4.95181070652551,0.9645802934768876,23.003695958992466,163,163
ADAM,1,12,-4.9594439602204305,0.9689838697867381,38.273055041907355,251,251
ADAM,1,13,-4.252584082344743,0.3302178542916678,9.67617487499956,59,59
ADAM,1,14,-4.661951446835247,0.7081582409906916,13.961454833042808,80,80
ADAM,1,15,-4.625041003637273,0.6727488959329586,17.315175083931535,93,93
ADAM,2,1,-2.7378776867780967,0.03258412571453386,1.4839035420445725,49,49
ADAM,2,2,-3.5730508109738115,0.1150669324958199,2.329570541041903,55,55
ADAM,2,3,-3.8362500375014412,0.1580668777998896,3.6221954999491572,67,67
