optimizer,graph_id,p,energy,prob_opt,time,nit,nfev
CG,0,1,-2.749999999993565,0.10266101712470257,0.21039479097817093,9,66
CG,0,2,-4.985329285969565,0.005048967497505786,1.3006832089740783,26,260
CG,0,3,-8.00899867890832,0.8980463742771104,5.349827792029828,62,798
CG,0,4,-8.025050707388306,0.892294789163181,13.752264124923386,105,1611
CG,0,5,-8.372185534479097,0.9253201359015863,36.46882670803461,187,3553
CG,0,6,-8.970717984452737,0.995658572657082,200.81944345799275,723,16757
CG,0,7,-8.97023992382597,0.9970049980059159,106.73365591699257,308,7770
CG,0,8,-8.990541332478811,0.9986483064328483,248.735999916913,605,16201
CG,0,9,-8.560038593224323,0.8749657304192003,381.2780632080976,631,22394
CG,0,10,-8.995521409330813,0.9989925178163602,3489.8987638750114,5365,183834
CG,0,11,-8.758658514607118,0.9424177756173201,4406.8375647079665,5461,213325
CG,0,12,-8.998781264870864,0.9997105875931113,4579.506379207945,5020,205025
CG,0,13,-8.900953866785827,0.9816091473447833,4216.377315291902,3975,176661
CG,0,14,-8.999151721156924,0.999879904604734,6600.256489209016,5636,266191
CG,0,15,-8.805453581099313,0.8805263705399096,2760.7148082079366,1953,104253
CG,1,1,-3.035091837016128,0.07364280777190366,0.28195829200558364,11,99
CG,1,2,-3.490637857541894,0.10474304357524283,1.002724958001636,21,225
CG,1,3,-4.239580615695745,0.38498984054474694,7.965281666954979,107,1316
CG,1,4,-4.310892441870567,0.4575560356049852,24.962819332955405,220,3249
CG,1,5,-4.328891697962499,0.44385882499039747,28.103545999969356,167,3025
CG,1,6,-4.59445173606242,0.6763471399007405,49.63900058309082,213,4550
CG,1,7,-4.68543472244847,0.7497075314260897,96.90080070809927,306,7740
CG,1,8,-4.906193268419285,0.9269002656734158,110.07415262504946,290,7786
CG,1,9,-4.9489626182348205,0.9647542143092545,110.99351766705513,220,7049
CG,1,10,-4.9203347655180325,0.938005002440892,561.2507146249991,952,31815
CG,1,11,-4.854262366572571,0.8769157549574829,782.1346955829067,1133,40595
CG,1,12,-4.922511923310013,0.9392151529242491,1183.811103083077,1469,56675
CG,1,13,-4.970162304081682,0.9761385948552881,1754.2041223749984,1808,76383
CG,1,14,-4.769583447050234,0.8180211546813937,6284.0797596250195,5522,263030
CG,1,15,-4.84687099385552,0.8727491050162202,4091.460461208946,3288,159185
CG,2,1,-2.745309412880438,0.032047352200176876,0.2554527500178665,9,81
CG,2,2,-3.6148829433367435,0.12827309743352178,1.5793492919765413,31,320
CG,2,3,-3.8416700594389885,0.1711113017415305,6.173548582941294,62,889
CG,2,4,-4.043680223199099,0.21096820165840507,21.9018926670542,157,2520
CG,2,5,-3.939943558760015,0.1982829180271247,35.16016829200089,173,3366
CG,2,6,-4.1417041811145054,0.2621920860158521,239.82658074994106,936,19513
CG,2,7,-3.2936545167724858,0.05201728440499384,186.49472045805305,547,13125
CG,2,8,-4.560043337769378,0.6524345049093159,110.00116583297495,247,6868
CG,2,9,-4.665239946864053,0.736516462692355,85.57471654203255,157,4807
CG,2,10,-4.713154654368518,0.7594298714246178,230.95491895801388,342,11634
CG,2,11,-4.747694162813433,0.7838122413478809,269.54609754204284,344,12420
CG,2,12,-4.772158921716782,0.8140309772842838,1022.1276649159845,1117,43375
CG,2,13,-4.816748870375291,0.849453122200508,811.695261917077,754,32049
CG,2,14,-4.822285587737051,0.8574275350833641,927.2384376249975,755,34278
CG,2,15,-4.82968952579607,0.8581561956500328,1559.1817893330008,1115,53785
CG,3,1,-1.8956419862409675,0.0486272136804524,0.40499708300922066,11,108
CG,3,2,-2.6310996380972247,0.18094331276933603,1.8332957499660552,29,300
CG,3,3,-3.0487971765881268,0.35824267671734067,4.366139957914129,39,525
CG,3,4,-2.74939745155031,0.2083174419769134,15.878042749944143,91,1512
CG,3,5,-2.7551038416738955,0.3732658521581302,191.43114162504207,825,14872
CG,3,6,-3.535542861680177,0.7697814548913269,32.11564583401196,101,2145
CG,3,7,-3.657581981292153,0.8241801584669339,44.45507795794401,102,2565
CG,3,8,-3.7979641021307904,0.8996748164043209,97.97762770904228,179,4947
CG,3,9,-3.9096322446998073,0.954561285111043,87.76085408299696,129,3971
CG,3,10,-3.6999634277348195,0.8525906738409681,1238.636957333074,1499,50694
CG,3,11,-3.7828720070883035,0.9117682218942355,1017.377214416978,1053,38181
CG,3,12,-3.7803320949807198,0.8859085444492979,3308.483777208021,2888,115125
CG,3,13,-3.856300703055468,0.9465908210631859,4041.6441956670024,3147,132624
CG,3,14,-3.839629581515167,0.9291907506589965,6664.434928791015,3988,205668
CG,3,15,-3.757734648659861,0.9091075336249961,3228.598295208998,1952,94395
CG,4,1,-0.834390962848499,0.04648896689880151,0.39755816699471325,10,86
CG,4,2,-1.363161929247479,0.17475294948040135,3.0994261659216136,39,415
CG,4,3,-1.4145772867258133,0.09292487182410318,23.510370292002335,176,2282
CG,4,4,-1.9102461857232904,0.16671451789534603,19.781765584019013,91,1503
CG,4,5,-2.1204025913308677,0.29753426896773394,31.72209366702009,101,1980
CG,4,6,-2.310698687116322,0.4399117819945305,34.09819524991326,83,1781
CG,4,7,-1.631405293824139,0.35464717733484996,209.5590624999022,393,9510
CG,4,8,-2.502509619614901,0.6303302475003962,445.7096454160055,636,17935
CG,4,9,-2.4897191759861363,0.6072145256750129,189.59856695798226,228,6840
CG,4,10,-2.5794324866703837,0.6975801254258619,1365.554465000052,1252,44625
CG,4,11,-2.5844471326918925,0.7108809899256519,1870.8529906669864,1470,55890
CG,4,12,-2.6839252858599654,0.7705001855779792,1468.4073019169737,1040,40125
CG,4,13,-2.851125381252813,0.8885378081156143,1904.7675016670255,1122,47952
CG,4,14,-2.8152505838328,0.8766060951476644,9516.455880291993,4806,221531
CG,4,15,-2.8541017484334255,0.8862747197175203,7217.675820500008,3303,157914
