optimizer,graph_id,p,energy,prob_opt,time,nit,nfev
L-BFGS-B,0,1,-2.7499999999999405,0.10266113447569569,0.15239404095336795,13,51
L-BFGS-B,0,2,-4.936260648236784,0.004978177178200603,0.5251743749249727,18,105
L-BFGS-B,0,3,-8.008998678776921,0.8980471551330016,0.8819771249545738,19,147
L-BFGS-B,0,4,-8.025050703998298,0.8922949676858551,2.1827208750182763,28,288
L-BFGS-B,0,5,-8.372185529122053,0.9253204288228372,8.543771874974482,76,935
L-BFGS-B,0,6,-8.450342107813869,0.9237403007543369,22.152610125020146,133,2028
L-BFGS-B,0,7,-8.970239917158423,0.9970056103350298,34.27766870893538,150,2580
L-BFGS-B,0,8,-8.990541311585977,0.9986508201837648,60.14902179199271,201,3859
L-BFGS-B,0,9,-8.94374882957019,0.9920691765870776,189.7841111670714,522,11001
L-BFGS-B,0,10,-8.85309555439126,0.9781472460271874,249.84579733293504,563,12999
L-BFGS-B,0,11,-8.712364500815214,0.9263367389877863,148.193381665973,283,7084
L-BFGS-B,0,12,-8.99966685074107,0.9999090480659187,183.56629941693973,292,8225
L-BFGS-B,0,13,-8.999993266061251,0.999998213443247,248.62556066701654,343,10341
L-BFGS-B,0,14,-8.995312563703303,0.9987111798720194,385.82619308296125,465,15022
L-BFGS-B,0,15,-8.934813372157409,0.9803116683574559,416.3019079579972,442,15004
L-BFGS-B,1,1,-3.0350918370160835,0.0736428100277141,0.21289129101205617,11,72
L-BFGS-B,1,2,-3.9969114253377924,0.29132039882690186,0.8186329999007285,23,175
L-BFGS-B,1,3,-4.239580615303389,0.3849893672208077,2.577335917041637,48,406
L-BFGS-B,1,4,-4.474801249918137,0.576673554347986,6.937590374960564,77,864
L-BFGS-B,1,5,-4.345983944502695,0.4396564059055397,7.460376958013512,57,759
L-BFGS-B,1,6,-4.355824417964886,0.4491328075275227,17.558113541919738,97,1534
L-BFGS-B,1,7,-4.844366382518746,0.8659972798236736,15.8008146249922,67,1200
L-BFGS-B,1,8,-4.8444007767696,0.8659944191378379,50.61745516699739,184,3451
L-BFGS-B,1,9,-4.927834053199816,0.9446353203843472,92.42856304196175,251,5662
L-BFGS-B,1,10,-4.911985110146716,0.925920739132554,75.1406689590076,175,4116
L-BFGS-B,1,11,-4.902431489619821,0.9184434906143812,127.88195770897437,248,6417
L-BFGS-B,1,12,-4.9632651636556995,0.9709494002830993,226.42383037495892,390,10500
L-BFGS-B,1,13,-4.960009231117375,0.9691152073778698,341.1423476249911,514,15012
L-BFGS-B,1,14,-4.872528786781002,0.8916876787199927,369.4682607499417,481,15022
L-BFGS-B,1,15,-4.963564701050028,0.973316174583139,400.56736895802896,438,15004
L-BFGS-B,2,1,-2.745309412880915,0.03204735249982499,0.2530382910044864,12,78
L-BFGS-B,2,2,-3.6148829433395986,0.12827322111696512,0.795631124987267,24,155
L-BFGS-B,2,3,-3.951156121942852,0.20168866609227548,3.1657928749918938,48,455
L-BFGS-B,2,4,-3.7217376839300194,0.13341049832095053,5.687180874985643,59,648
L-BFGS-B,2,5,-4.10892406046994,0.26869781108516544,7.136678583105095,53,671
L-BFGS-B,2,6,-4.1605972365081385,0.2474620279621842,22.41383791703265,115,1794
L-BFGS-B,2,7,-4.280043035858064,0.3468652057392994,25.16305887501221,105,1755
L-BFGS-B,2,8,-4.2670034190860235,0.3426584087016003,73.3783048329642,226,4539
L-BFGS-B,2,9,-4.457845748314127,0.5307877615075542,98.61638620891608,247,5472
L-BFGS-B,2,10,-4.627581195295388,0.7117332487791814,64.74194025003817,131,3213
L-BFGS-B,2,11,-4.601467067555595,0.6726290680006553,124.87550850003026,221,5681
L-BFGS-B,2,12,-4.838756365840648,0.8911266236823834,247.5732112500118,376,10400
L-BFGS-B,2,13,-4.760305194409664,0.8260893691735186,309.19773954106495,408,12069
L-BFGS-B,2,14,-4.7856065029063615,0.8453832047569485,249.08424933301285,289,9077
L-BFGS-B,2,15,-4.848790531643788,0.9010910355744404,435.45900216698647,439,15004
L-BFGS-B,3,1,-1.895641986241458,0.048627231548825256,0.3838865830330178,12,99
L-BFGS-B,3,2,-2.6310996380993847,0.18094324134120077,0.792101625003852,18,130
L-BFGS-B,3,3,-2.8400570152134454,0.20295936584976576,3.101538582937792,44,371
L-BFGS-B,3,4,0.4372019225875162,0.07943520292081745,4.774708417011425,39,450
L-BFGS-B,3,5,-3.368747958277002,0.47906151132627905,13.01651812507771,74,1012
L-BFGS-B,3,6,-3.4329840595909475,0.542436061617794,17.11055458302144,71,1131
L-BFGS-B,3,7,-3.6575819721172707,0.8241858905743175,19.01586041704286,65,1095
L-BFGS-B,3,8,-3.797964091190299,0.8996775075042087,34.80585066601634,85,1751
L-BFGS-B,3,9,-3.909632231944859,0.9545616194693946,59.89815075008664,123,2698
L-BFGS-B,3,10,-3.6857741083643383,0.8475842750705707,112.6838957919972,199,4620
L-BFGS-B,3,11,-3.7512636416930807,0.9076962181364174,200.80595512501895,294,7544
L-BFGS-B,3,12,-3.9453018836850324,0.9725802967832043,343.506384957931,445,11900
L-BFGS-B,3,13,-3.85684947963376,0.9469043676854683,467.60797916701995,507,15012
L-BFGS-B,3,14,-3.8415611131602425,0.9563627280012718,501.94409320806153,469,15022
L-BFGS-B,3,15,-3.9958057165282277,0.9988420115771758,535.3907000829931,445,15004
L-BFGS-B,4,1,-0.8343909628488353,0.04648898516906695,0.3402494170004502,14,69
L-BFGS-B,4,2,-1.3631619292473123,0.17475293163721567,2.333313624956645,34,295
L-BFGS-B,4,3,-1.4950147596801882,0.09909282531749027,4.1444615829968825,42,378
L-BFGS-B,4,4,-1.9102461856992037,0.16671528705887056,7.023151832981966,46,504
L-BFGS-B,4,5,-2.120402588788779,0.29754481757899964,9.527008124976419,45,561
L-BFGS-B,4,6,-2.2626300938348267,0.4013715158588294,28.67963095905725,100,1417
L-BFGS-B,4,7,-2.4446853339920516,0.5669385797160875,57.70898908399977,136,2490
L-BFGS-B,4,8,-1.189968012391137,0.04145362335128145,174.26498854195233,351,6664
L-BFGS-B,4,9,-2.4886173707576544,0.5996290446576438,118.6255939170951,192,4066
L-BFGS-B,4,10,-2.6356399741689316,0.7464260935330513,250.55505204189103,331,7791
L-BFGS-B,4,11,-2.5822729531050825,0.7009123124603427,436.7484280000208,497,12420
L-BFGS-B,4,12,-2.4307649286130872,0.5396288384101432,462.4241242080461,449,12025
L-BFGS-B,4,13,-2.7524691625955864,0.8215979729792644,625.3983091660775,503,15012
L-BFGS-B,4,14,-2.782318670601451,0.8403014149352314,671.2361089170445,460,15022
L-BFGS-B,4,15,-2.848038438797861,0.8908258961142702,717.2741773329908,438,15004
