optimizer,graph_id,p,energy,prob_opt,time,nit,nfev
Nelder-Mead,0,1,-4.042945212722042,0.0033034757358285727,0.21598470804747194,38,75
Nelder-Mead,0,2,-5.472951266084725,0.09668464898526136,1.6697080829180777,216,371
Nelder-Mead,0,3,-6.621695890259504,0.44823131777606773,4.790367791079916,497,777
Nelder-Mead,0,4,-8.045797807695276,0.8884157297879536,10.13202158396598,896,1300
Nelder-Mead,0,5,-8.669901703173418,0.8611951907950062,43.54070125008002,3321,4624
Nelder-Mead,0,6,-8.075044102213532,0.6970475755290881,84.01377579104155,5582,7553
Nelder-Mead,0,7,-8.440766203889028,0.9063284397651481,61.588197415927425,3620,4812
Nelder-Mead,0,8,-8.789315578534628,0.9516974917510189,49.11501204199158,2578,3415
Nelder-Mead,0,9,-8.919137090027487,0.9883389077326992,121.15463470900431,5913,7560
Nelder-Mead,0,10,-8.940134309891114,0.9930933487752232,188.6335338340141,8323,10515
Nelder-Mead,0,11,-8.81707712668031,0.8956676322320817,241.4481952909846,10000,12333
Nelder-Mead,0,12,-8.592592152471314,0.8056290626924179,225.90276591596194,8616,10649
Nelder-Mead,0,13,-7.080087217710686,0.6956418212382729,212.5189797920175,7589,9314
Nelder-Mead,0,14,-8.370053640137124,0.9054150810741011,260.46656912507024,8834,10652
Nelder-Mead,0,15,-7.361031693640757,0.2430971800824512,312.76100270904135,10000,11981
Nelder-Mead,1,1,-3.0350918235516158,0.07364465459470451,0.2385278339497745,44,85
Nelder-Mead,1,2,-3.996911408985916,0.2913105449908617,2.0592615000205114,279,469
Nelder-Mead,1,3,-4.239580605599932,0.3849975855775006,10.207099250052124,1127,1708
Nelder-Mead,1,4,-4.285714720369373,0.40668935807305995,14.222160290926695,1299,1885
Nelder-Mead,1,5,-4.398308400587365,0.4676902851293687,25.66923079197295,2003,2801
Nelder-Mead,1,6,-4.378008705503836,0.48258972724585203,38.70609324995894,2658,3603
Nelder-Mead,1,7,-4.470154306008874,0.5496963433995561,57.96927199990023,3521,4686
Nelder-Mead,1,8,-4.5787134736618045,0.6472411287305345,111.91712574998382,6137,8014
Nelder-Mead,1,9,-4.614031876888134,0.6658622637256021,100.17292350006755,5055,6448
Nelder-Mead,1,10,-4.685373145837212,0.721829894240625,149.3362594579812,6763,8590
Nelder-Mead,1,11,-4.401221816447255,0.5362139705751227,233.96681445802096,10000,12315
Nelder-Mead,1,12,-4.59511771217612,0.7019844381414221,187.4740258329548,7402,9112
Nelder-Mead,1,13,-3.76501957408484,0.24229377209807113,266.2479642920662,10000,12049
Nelder-Mead,1,14,-4.439492657899335,0.51038148448739,286.2706055419985,9985,12088
Nelder-Mead,1,15,-4.452530905106287,0.5355332164718086,300.9551047079731,10000,11917
Nelder-Mead,2,1,-2.7453093856952013,0.032046483780103746,0.24518770806025714,42,82
Nelder-Mead,2,2,-3.614882853885727,0.12825927450565566,1.9246617499738932,242,405
Nelder-Mead,2,3,-3.8427385909756975,0.16478229095099045,6.878066582954489,683,1056
Nelder-Mead,2,4,-3.9682648164675483,0.2178283192606019,10.753173082950525,872,1304
Nelder-Mead,2,5,-3.951771003908021,0.25717804419035645,22.309267915901728,1592,2226
Nelder-Mead,2,6,-4.189708664418866,0.28986873423238657,44.68936158402357,2787,3796
Nelder-Mead,2,7,-4.252277547420996,0.3521368762748893,59.10251691599842,3269,4362
Nelder-Mead,2,8,-4.199253812690502,0.30310921613964903,62.01233291695826,3111,4059
Nelder-Mead,2,9,-4.307049947309139,0.41150003454431844,119.31165462499484,5459,7008
Nelder-Mead,2,10,-4.354172653404584,0.41877296408249925,198.92486887495033,8300,10444
Nelder-Mead,2,11,-3.755061264758551,0.18746533934593007,145.42415929201525,5571,6987
Nelder-Mead,2,12,-3.69939640566325,0.15423248614414287,192.28092470800038,6912,8525
Nelder-Mead,2,13,-4.044986669386755,0.26319456066870944,295.5485004580114,10000,12182
Nelder-Mead,2,14,-4.027289494164172,0.1993828740994311,312.7481877920218,10000,12029
Nelder-Mead,2,15,-3.3888173937066965,0.04790566987352054,331.7248482500436,10000,11944
Nelder-Mead,3,1,-1.8956419371213515,0.04863267600450408,0.28259383398108184,42,79
Nelder-Mead,3,2,-2.631099630371167,0.18093834667150763,2.4233190830564126,253,423
Nelder-Mead,3,3,-3.0487971575954447,0.3582090848879582,7.502131374902092,610,948
Nelder-Mead,3,4,-3.046658721201212,0.3538292698425992,14.989311125013046,1016,1486
Nelder-Mead,3,5,-3.0377003608201463,0.34765413816949703,34.57360333297402,2011,2823
Nelder-Mead,3,6,-3.304417050153691,0.4222056890903617,71.57494333398063,3624,4968
Nelder-Mead,3,7,-3.4251722145771883,0.6018268138057119,53.61659995908849,2392,3240
Nelder-Mead,3,8,-3.3660546694351288,0.45725264076277333,125.63359516707715,5115,6623
Nelder-Mead,3,9,-3.3862473598432525,0.4807796932542889,97.06597370898817,3569,4589
Nelder-Mead,3,10,-3.3819185244611836,0.729697442323298,208.35002637503203,7081,8940
Nelder-Mead,3,11,-3.472133555646561,0.6653996509842731,289.2129885830218,9153,11380
Nelder-Mead,3,12,-3.6297959714913706,0.7682836745701902,309.5994894170435,9069,11220
Nelder-Mead,3,13,-3.212598235156648,0.5204058338225358,359.77090212493204,10000,12099
Nelder-Mead,3,14,-3.383535391105884,0.4896323486694095,384.32812058296986,10000,12045
Nelder-Mead,3,15,-3.0408122399438464,0.34738205119521676,409.21916783298366,10000,12013
Nelder-Mead,4,1,-0.8343909220472792,0.04648344324852422,0.34588662500027567,38,75
Nelder-Mead,4,2,-1.3260902473690575,0.05953529561466596,2.120601375005208,169,283
Nelder-Mead,4,3,-1.454877495400478,0.10734207351816516,6.926157042034902,422,667
Nelder-Mead,4,4,-1.893815256513357,0.17435697165617317,35.561005124938674,1836,2688
Nelder-Mead,4,5,-1.6449906051479468,0.11792561738736318,25.52790908399038,1115,1583
Nelder-Mead,4,6,-2.1199062933339072,0.3194813879575492,140.43108145799488,5389,7288
Nelder-Mead,4,7,-2.0740816746719877,0.446681521969447,111.02324633300304,3668,4855
Nelder-Mead,4,8,-2.2773087092282513,0.4200615862067966,169.1300859580515,5027,6547
Nelder-Mead,4,9,-2.3774335162769793,0.6021907684510222,185.29940008290578,5055,6513
Nelder-Mead,4,10,-2.394197729304771,0.5557146723414822,301.7275612910744,7593,9593
Nelder-Mead,4,11,-2.3877412676661365,0.5276327600414072,361.9137652090285,8433,10522
Nelder-Mead,4,12,-2.1134216342777643,0.40228640361662277,458.0020639169961,10000,12189
Nelder-Mead,4,13,-2.36085778674826,0.5057754895718352,494.6016856250353,10000,12140
Nelder-Mead,4,14,-1.8359151752203982,0.1919304873823601,525.0365100411,10000,12025
Nelder-Mead,4,15,-1.7992658648541409,0.24070136580512938,556.539417999913,10000,11899
