optimizer,graph_id,p,energy,prob_opt,time,nit,nfev
SPSA,0,1,-2.742788925065814,0.10086640977869246,1.1653102920390666,44,44
SPSA,0,2,-2.875333577908227,0.0767450352671416,4.5702578340424225,127,127
SPSA,0,3,-3.8502631348304215,0.24061302791424677,191.45826883299742,4130,4130
SPSA,0,4,-1.4297847669388528,0.017977032678852558,59.46036179200746,1065,1065
SPSA,0,5,-1.3020323122175321,0.0213314561996313,37.66500983305741,573,573
SPSA,0,6,-0.6590958325280736,0.008171169823979444,272.8463469160488,3657,3657
SPSA,0,7,0.6387196711987742,0.03153153268796957,371.729525999981,4432,4432
SPSA,0,8,-0.9102881436466913,0.012457487144439044,232.061215542024,2484,2484
SPSA,0,9,-0.24551488350105632,0.051141095866043054,395.5983155000722,3861,3861
SPSA,0,10,-0.1364241191963551,0.015606235412031978,258.97822745901067,2274,2274
SPSA,0,11,-1.2920631963071312,0.0004916166762023151,1199.2553527910495,10000,10000
SPSA,0,12,0.28256220567716656,0.040600239523198856,353.9252728749998,2695,2695
SPSA,0,13,0.7104942648866468,0.07047734046311128,1051.815139082959,7466,7466
SPSA,0,14,-0.9730296522089841,0.14404330520931213,293.33323733403813,1954,1954
SPSA,0,15,-0.5014092358597355,0.0729093146925043,519.2886025418993,3262,3262
SPSA,1,1,-2.9740881064340874,0.0713247099352323,4.308490750030614,167,167
SPSA,1,2,-3.2410677624365896,0.09643125930998846,17.280537875019945,492,492
SPSA,1,3,-1.3977704911793298,0.03263961546742126,0.7847140829544514,18,18
SPSA,1,4,-0.5160478569640893,0.00404541003527522,0.7327139170374721,14,14
SPSA,1,5,-0.8612423205998094,0.008065279309984616,28.218551208963618,449,449
SPSA,1,6,-1.9213950060760139,0.01002409774227555,14.141511084046215,196,196
SPSA,1,7,-0.260151857040294,0.002944430286992429,10.902860458008945,133,133
SPSA,1,8,-0.4491669405788341,0.01555273896330423,46.86502754106186,514,514
SPSA,1,9,-0.6284646185242349,0.011074074478567794,13.929335124907084,139,139
SPSA,1,10,-1.296204314941316,0.002303054325727053,79.01401124999393,722,722
SPSA,1,11,-1.558531037397834,0.022323142011433497,19.106046415981837,161,161
SPSA,1,12,-0.6594406250184107,0.0025026726355491993,38.935208415961824,305,305
SPSA,1,13,-1.1403498955616405,0.0060960784874254,112.14894629199989,818,818
SPSA,1,14,-0.8892805353165387,0.0077733625934409325,192.02395479206461,1313,1313
SPSA,1,15,-0.8764308381657759,0.009040735160790637,5.425948042073287,35,35
SPSA,2,1,-1.9973523531379045,0.024139122247526085,0.9829781670123339,36,36
SPSA,2,2,-0.4415448411544387,0.0003370332716729412,2.452563041006215,66,66
SPSA,2,3,0.2798979765030737,0.0009756029906020264,6.999919124995358,148,148
