optimizer,graph_id,p,energy,prob_opt,time,nit,nfev
COBYLA,0,1,-5.783132572776404,0.0244140625,0.6983110000001034,178,178
COBYLA,0,2,-6.268469393409698,0.0029296875,1.4009302000013122,270,270
COBYLA,0,3,-6.301116676901373,0.0009765625,2.537356099997851,404,404
COBYLA,0,4,-5.234590167234384,0.0087890625,3.4442325999989407,452,452
COBYLA,0,5,-5.715088773808964,0.001953125,4.523092899999028,537,537
COBYLA,0,6,-4.311106135623067,0.001953125,5.702961200000573,580,580
COBYLA,0,7,-4.594588206630523,0.0048828125,7.326084399999672,672,672
COBYLA,0,8,-4.716201874189099,0.0,9.618132700001295,822,822
COBYLA,0,9,-4.542545258579111,0.0126953125,11.86824279999928,915,915
COBYLA,0,10,-4.25349910209821,0.005859375,14.328813100000843,992,992
COBYLA,0,11,-3.5940502477070986,0.0048828125,16.764234899997973,1048,1048
COBYLA,0,12,-3.4475656100970182,0.0,20.22896690000198,1178,1178
COBYLA,0,13,-3.355900659879376,0.0,23.813484199999948,1307,1307
COBYLA,0,14,-3.6668756872367534,0.0,28.81560510000054,1508,1508
COBYLA,0,15,-2.13190622481099,0.0,31.972858299999643,1523,1523
COBYLA,1,1,-3.8856520326541584,0.1337890625,0.951674300002196,211,211
COBYLA,1,2,-4.21751765130047,0.462890625,1.5736763999993857,278,278
COBYLA,1,3,-3.142513350883128,0.171875,2.228408099999797,322,322
COBYLA,1,4,-2.900399632960607,0.046875,3.885784099999,483,483
COBYLA,1,5,-3.434450600170033,0.2099609375,5.76373429999876,622,622
COBYLA,1,6,-2.613285969313982,0.1279296875,6.493540899999061,620,620
COBYLA,1,7,-2.7222746470904124,0.09375,11.300247299997864,966,966
COBYLA,1,8,-1.1181653583798727,0.001953125,8.638301099999808,692,692
COBYLA,1,9,-1.3492672629461753,0.01953125,12.150585299998056,870,870
COBYLA,1,10,-1.4531682138277922,0.0087890625,15.421186799998395,1010,1010
COBYLA,1,11,-1.3247396879609128,0.0048828125,18.714779799996904,1120,1120
COBYLA,1,12,-0.9464329298113456,0.0078125,17.69480790000307,983,983
COBYLA,1,13,-1.1536561468059328,0.0302734375,20.799507100000483,1085,1085
COBYLA,1,14,-0.927204847693052,0.0068359375,22.48994050000329,1116,1116
COBYLA,1,15,-0.8971958791029113,0.005859375,25.858061000002635,1188,1188
COBYLA,2,1,-3.3725796909715404,0.0,0.8480025000026217,185,185
COBYLA,2,2,-2.857656978416979,0.0,1.4695630999995046,261,261
COBYLA,2,3,-2.7217290114880583,0.0341796875,2.2947157000016887,334,334
COBYLA,2,4,-2.5729642495691265,0.0,3.5931394999970507,450,450
COBYLA,2,5,-1.836052177787218,0.0322265625,4.5086983000001055,494,494
COBYLA,2,6,-2.0726979019996947,0.0068359375,6.5998113000023295,637,637
COBYLA,2,7,-1.1993377394328588,0.005859375,8.976108599999861,777,777
COBYLA,2,8,-1.0181823152588911,0.001953125,9.023574599999847,725,725
COBYLA,2,9,-1.1285615397517108,0.0,12.559918499999185,906,906
COBYLA,2,10,-0.8242537322093336,0.021484375,14.77972249999948,967,967
COBYLA,2,11,-0.7881959298644123,0.0,15.7634309999994,954,954
COBYLA,2,12,-0.6898353579070549,0.0029296875,19.425877199999377,1083,1083
COBYLA,2,13,-0.799613203166063,0.0009765625,22.07950720000008,1144,1144
COBYLA,2,14,-0.7772755236839488,0.0048828125,25.039772200001607,1261,1261
COBYLA,2,15,-0.6746799940017552,0.00390625,34.43928130000131,1594,1594
COBYLA,3,1,-2.6988797462372998,0.26953125,0.9653630000029808,196,196
COBYLA,3,2,-3.415283560861418,0.6943359375,1.7440844000011566,282,282
COBYLA,3,3,-1.498794580927996,0.005859375,2.602221400000417,364,364
COBYLA,3,4,-1.6040810359538735,0.025390625,3.3791478000021016,406,406
COBYLA,3,5,0.4322855251618148,0.0205078125,4.730829100000847,515,515
COBYLA,3,6,-0.9931519283447332,0.05078125,8.204833700001473,760,760
COBYLA,3,7,0.3163094228977969,0.01171875,7.867283399998996,664,664
COBYLA,3,8,-0.0116323315614032,0.0263671875,9.24723019999874,728,728
COBYLA,3,9,0.4808875479550963,0.0029296875,12.228292199997668,871,871
COBYLA,3,10,1.045718201291903,0.0087890625,17.24246260000291,1109,1109
COBYLA,3,11,0.4225493193140559,0.001953125,18.702956700002687,1093,1093
COBYLA,3,12,1.1431016045264502,0.0029296875,20.42966879999949,1118,1118
COBYLA,3,13,1.4623037261076774,0.005859375,22.82496180000089,1179,1179
COBYLA,3,14,1.3712965317994137,0.0087890625,25.194333700001152,1246,1246
COBYLA,3,15,1.3606019826548577,0.0068359375,32.37237649999952,1476,1476
COBYLA,4,1,-1.3883355025081805,0.0107421875,1.053258299998561,199,199
COBYLA,4,2,-1.7854406339466042,0.1708984375,1.7423625999981596,268,268
COBYLA,4,3,-0.7522309345884903,0.0830078125,3.093238699999347,395,395
COBYLA,4,4,-0.4564994511152848,0.0673828125,4.366356099999393,491,491
COBYLA,4,5,0.0539944309057655,0.0185546875,5.800542499997391,584,584
COBYLA,4,6,1.25839279731679,0.095703125,8.35150319999957,743,743
COBYLA,4,7,2.9113553964048307,0.025390625,8.885865000000194,719,719
