optimizer,graph_id,p,energy,prob_opt,time,nit,nfev
Nelder-Mead,0,1,-4.691675056738235,0.0009765625,73.75880299999972,10000,32246
Nelder-Mead,0,2,-5.1114163897471006,0.0,106.48591840000064,10000,34760
Nelder-Mead,0,3,-4.27757752596322,0.0,132.97971280000002,10000,36215
Nelder-Mead,0,4,-4.970633490076764,0.0,155.26932820000002,10000,37162
Nelder-Mead,0,5,-4.841566355234138,0.013671875,181.20784980000008,10000,37773
Nelder-Mead,0,6,-4.187344792558598,0.0048828125,284.5180228999998,10000,40298
Nelder-Mead,0,7,-3.867205449045412,0.0,363.9323715999999,10000,40587
Nelder-Mead,0,8,-1.5986737429037092,0.0009765625,434.5189585000008,10000,44362
Nelder-Mead,0,9,-3.1655406813501523,0.0,427.6478822000008,10000,43156
Nelder-Mead,0,10,-1.4494266162198297,0.0,498.516359700001,10000,46494
Nelder-Mead,0,11,-1.154780798340416,0.0,543.8528284000004,10000,47169
Nelder-Mead,0,12,-0.8579778024617312,0.0,610.2096325000002,10000,49271
Nelder-Mead,0,13,-0.7939359075195942,0.0,640.6761344000006,10000,48167
Nelder-Mead,0,14,-0.6967718411612895,0.001953125,730.3397086999994,10000,51399
Nelder-Mead,0,15,-0.8038679394079185,0.0,775.667512,10000,51700
Nelder-Mead,1,1,-2.9614309866037325,0.0439453125,105.23260649999976,10000,31822
Nelder-Mead,1,2,-2.239012568985947,0.0302734375,145.16434859999936,10000,34423
Nelder-Mead,1,3,-0.6457558116272009,0.0,186.21543999999997,10000,36843
Nelder-Mead,1,4,-0.8060447509584325,0.0029296875,232.45855550000124,10000,39295
Nelder-Mead,1,5,-0.7879120066797188,0.0205078125,272.71883269999853,10000,40120
Nelder-Mead,1,6,-1.0196817118671988,0.01171875,275.99799560000065,10000,41544
Nelder-Mead,1,7,-0.3792867292959911,0.0048828125,267.96964880000087,10000,43136
Nelder-Mead,1,8,-0.6203433821653355,0.0107421875,355.54243270000006,10000,46231
Nelder-Mead,1,9,-0.5122971541800873,0.00390625,467.9775135999989,10000,45091
Nelder-Mead,1,10,-0.5353732752013847,0.0048828125,530.6405357000003,10000,47957
Nelder-Mead,1,11,-0.7074864047361625,0.01171875,574.7975095999991,10000,48627
Nelder-Mead,1,12,-0.7376684547533314,0.00390625,610.3168480000022,10000,47745
Nelder-Mead,1,13,-0.6664893398546932,0.0068359375,649.5595047999996,10000,47577
Nelder-Mead,1,14,-0.7492708087669375,0.005859375,727.6775615000006,10000,50289
Nelder-Mead,1,15,-0.8117643120516798,0.013671875,781.0922278999969,10000,50862
Nelder-Mead,2,1,-3.109911797131657,0.03125,106.52276350000102,10000,31889
Nelder-Mead,2,2,-1.7894822145856364,0.0068359375,144.6709582000003,10000,34137
Nelder-Mead,2,3,-0.4458906174735582,0.0,190.10168760000303,10000,37505
Nelder-Mead,2,4,-1.0425126958360142,0.0009765625,223.43084409999935,10000,37658
Nelder-Mead,2,5,-0.6331359809462606,0.00390625,279.2278823000015,10000,41074
Nelder-Mead,2,6,-0.222982671974776,0.0048828125,232.2915288000004,10000,42085
Nelder-Mead,2,7,-0.24946738453488,0.0107421875,353.0440173999996,10000,42741
Nelder-Mead,2,8,-0.1899549780946752,0.0,426.6215118,10000,45464
Nelder-Mead,2,9,-0.2408192514284638,0.0009765625,463.5394407999993,10000,45459
Nelder-Mead,2,10,-0.0943854890550365,0.0009765625,531.7085325999979,10000,48079
Nelder-Mead,2,11,-0.0735942348323856,0.01171875,573.1429841999998,10000,48254
Nelder-Mead,2,12,-0.2168207927585379,0.0078125,627.5799326000015,10000,49384
Nelder-Mead,2,13,0.1079530129031171,0.001953125,667.088233800001,10000,49247
Nelder-Mead,2,14,-0.3411701419914297,0.0,710.1630546999986,10000,49483
Nelder-Mead,2,15,-0.2283499901221359,0.0,790.3080474000017,10000,51990
Nelder-Mead,3,1,-2.3984583061825404,0.1171875,118.67689099999916,10000,31703
Nelder-Mead,3,2,-1.1736355255319575,0.0244140625,158.32281670000157,10000,34478
Nelder-Mead,3,3,1.292982857532252,0.0048828125,199.44032549999972,10000,36639
Nelder-Mead,3,4,0.2088558897677332,0.021484375,236.8299659000004,10000,37756
Nelder-Mead,3,5,0.7111339177851285,0.0048828125,293.10869300000195,10000,40646
Nelder-Mead,3,6,1.6842501004257877,0.021484375,327.2480923999974,10000,40788
Nelder-Mead,3,7,1.5982066354377116,0.00390625,341.6403840000021,10000,42309
Nelder-Mead,3,8,2.581013189286613,0.0029296875,351.4906155000026,10000,44165
Nelder-Mead,3,9,2.3884606193906714,0.005859375,500.7059098000027,10000,47010
Nelder-Mead,3,10,2.3347006449663725,0.001953125,521.3845015000006,10000,45807
Nelder-Mead,3,11,2.6905355138339364,0.0009765625,573.9257915999988,10000,47039
Nelder-Mead,3,12,2.5823767492954595,0.00390625,655.6223186999996,10000,50439
Nelder-Mead,3,13,2.420784815611696,0.0068359375,671.0419422000014,10000,48043
Nelder-Mead,3,14,2.3438379339188278,0.0078125,715.7649975999993,10000,48438
Nelder-Mead,3,15,2.188896300158797,0.0009765625,808.6865465999981,10000,51572
Nelder-Mead,4,1,-1.033438987831885,0.1630859375,134.637271399999,10000,31445
Nelder-Mead,4,2,-0.8503135882502237,0.017578125,168.73544099999708,10000,32718
Nelder-Mead,4,3,-0.2977934936340972,0.169921875,213.2562433999992,10000,35243
Nelder-Mead,4,4,2.4474511598862208,0.0224609375,249.4805514999971,10000,36340
Nelder-Mead,4,5,0.5392424659757015,0.0234375,258.18308499999694,10000,37661
Nelder-Mead,4,6,5.26053674702922,0.00390625,328.5524544,10000,42670
Nelder-Mead,4,7,6.544542895170877,0.001953125,355.648529099999,10000,42610
Nelder-Mead,4,8,6.049732429692583,0.0048828125,389.6428031999967,10000,42559
Nelder-Mead,4,9,7.302158203331396,0.0009765625,402.7023107999994,10000,44891
Nelder-Mead,4,10,5.279716953815074,0.0078125,358.9947402999969,10000,41901
Nelder-Mead,4,11,7.046757290215013,0.0068359375,507.2606844000038,10000,46715
Nelder-Mead,4,12,7.083045373834574,0.009765625,598.9057011999976,10000,47954
Nelder-Mead,4,13,6.712472113627559,0.013671875,648.1165308999989,10000,50183
Nelder-Mead,4,14,7.073933732516472,0.005859375,718.0117871999973,10000,52168
Nelder-Mead,4,15,7.804441195882261,0.0068359375,763.0380508999951,10000,52599
