optimizer,graph_id,p,energy,prob_opt,time,nit,nfev
POWELL,0,1,-8.519921099570105,0.658203125,4.163757300004363,4,1350
POWELL,0,2,-8.702567395733245,0.791015625,7.815991400013445,4,1977
POWELL,0,3,-8.72033563518229,0.791015625,12.268479399994249,4,2560
POWELL,0,4,-8.39529616641417,0.607421875,38.64694059998146,8,6893
POWELL,0,5,-8.399738256572585,0.66796875,37.62426299997605,6,5861
POWELL,0,6,-8.232061220596092,0.708984375,58.62864480001736,7,8210
POWELL,0,7,-6.182622701112276,0.146484375,71.31388549998519,7,8945
POWELL,0,8,-8.040648131072205,0.611328125,105.93968760001007,8,12168
POWELL,0,9,-8.072059080452512,0.5556640625,127.71702790001292,8,13477
POWELL,0,10,-5.674016326533072,0.029296875,108.22822150000138,6,10576
POWELL,0,11,-4.610158683163155,0.0029296875,66.60366999998223,3,5981
POWELL,0,12,-7.657336759110485,0.5537109375,237.33432629998424,9,19990
POWELL,0,13,-3.6842284756742,0.001953125,168.17637420000392,6,13369
POWELL,0,14,-3.062470232418427,0.0,64.39685920000193,2,4836
POWELL,0,15,-4.372348658853538,0.001953125,180.08488779998152,5,12796
POWELL,1,1,-4.832553084358527,0.8447265625,3.572174500004621,3,1089
POWELL,1,2,-4.548499420306277,0.748046875,10.10493430000497,5,2427
POWELL,1,3,-4.657262395426787,0.80078125,17.36252140000579,5,3503
POWELL,1,4,-4.287839406860835,0.59375,24.648897300008684,5,4291
POWELL,1,5,-4.41498112952689,0.73828125,32.56987039998057,5,4989
POWELL,1,6,-4.255926291361361,0.546875,43.034811000019545,5,5809
POWELL,1,7,-3.878937174480712,0.462890625,86.94829540001228,8,10664
POWELL,1,8,-1.8218485175535588,0.1220703125,26.391069100005552,2,2966
POWELL,1,9,-1.1964897140483155,0.0087890625,30.450018600007752,2,3151
POWELL,1,10,-1.1314578134799402,0.00390625,54.5355075999978,3,5147
POWELL,1,11,-0.8166657921038084,0.009765625,86.52274270000635,4,7620
POWELL,1,12,-0.9048693958286216,0.001953125,49.00448309999774,2,4080
POWELL,1,13,-0.8560321571362727,0.009765625,57.13796769999317,2,4461
POWELL,1,14,-0.9130602767327952,0.0048828125,94.59727460000433,3,6830
POWELL,1,15,-0.7106403742389976,0.005859375,71.28758949998883,2,4817
POWELL,2,1,-4.306407326895913,0.482421875,7.144479599985061,6,2107
POWELL,2,2,-3.7087360383386727,0.00390625,10.457483600010164,5,2460
POWELL,2,3,-4.011852929233348,0.349609375,13.63036110001849,4,2689
POWELL,2,4,-3.666926367684913,0.0009765625,20.139228000014555,4,3383
POWELL,2,5,-3.859783724436788,0.3671875,32.62428180000279,5,4872
POWELL,2,6,-2.533166214946926,0.0,25.300601399998413,3,3356
POWELL,2,7,-2.955068217807342,0.2255859375,86.13752119999845,8,10288
POWELL,2,8,-3.837762157612072,0.5625,108.05313270000624,8,11808
POWELL,2,9,-0.8903413567362769,0.0146484375,32.660493000003044,2,3266
POWELL,2,10,-3.738876549463664,0.5029296875,179.7528840000159,9,16662
POWELL,2,11,-0.3651969179178495,0.0,63.20008440001402,3,5514
POWELL,2,12,-0.6480306534009036,0.0,73.78126049999264,3,6018
POWELL,2,13,-0.5442933761977177,0.0009765625,58.90537610001047,2,4499
POWELL,2,14,-0.499070973417147,0.0107421875,99.21834220000892,3,7165
POWELL,2,15,-0.408483781908419,0.0,107.17693630000576,3,7326
POWELL,3,1,-3.786089995133288,0.8544921875,4.51795549999224,4,1224
POWELL,3,2,-2.749176537717557,0.0,11.414043400000082,5,2504
POWELL,3,3,-2.627495385006368,0.2998046875,22.14566780001041,6,4076
POWELL,3,4,-3.4699940453673097,0.7685546875,36.9495018000016,7,5938
POWELL,3,5,-3.4112415079670364,0.779296875,48.23762890000944,7,6845
POWELL,3,6,-2.204292412039553,0.005859375,45.941436399996746,5,5903
POWELL,3,7,0.3354848677369346,0.001953125,23.39357669997844,2,2717
POWELL,3,8,-3.057908034894991,0.7060546875,86.71564260000014,6,9158
POWELL,3,9,-2.732181009865593,0.62890625,224.1735730000073,13,21910
POWELL,3,10,-3.0711431862766623,0.7041015625,246.7839836000057,12,22474
POWELL,3,11,1.2236911836069653,0.005859375,44.29302589999861,2,3776
POWELL,3,12,1.1311044649972068,0.013671875,77.46704519999912,3,6192
POWELL,3,13,1.474252752600994,0.0107421875,58.64563359998283,2,4405
POWELL,3,14,1.5977138377646782,0.005859375,102.3545957999886,3,7290
POWELL,3,15,1.684724887763882,0.0087890625,122.52841920001084,3,8148
POWELL,4,1,-2.911713500799731,0.9287109375,11.38114690000657,8,2698
POWELL,4,2,-2.7999592403676314,0.8515625,12.267253900005016,5,2420
POWELL,4,3,-2.5884331349359564,0.84765625,33.39437690001796,8,5684
POWELL,4,4,-2.0781528806256397,0.474609375,28.987543499999447,5,4356
POWELL,4,5,-1.471703662085573,0.2880859375,22.318637899996247,3,2978
POWELL,4,6,-1.554342944501509,0.595703125,38.1002429999935,4,4598
POWELL,4,7,-1.505942066769165,0.3037109375,61.90449309998076,5,6804
POWELL,4,8,-1.4043034853702867,0.0166015625,166.06687140002032,11,16874
POWELL,4,9,-1.1613641683383666,0.26171875,238.53842349999468,13,22494
POWELL,4,10,-0.4044046822929159,0.1708984375,188.17086419998668,9,16507
POWELL,4,11,3.896928979730178,0.0087890625,72.89205329999095,3,6016
POWELL,4,12,-1.0480669310878432,0.4765625,297.0217371000035,10,22968
POWELL,4,13,-1.7126664788967003,0.630859375,370.9425239999837,11,26774
POWELL,4,14,3.376460963799475,0.046875,272.6442070000048,7,18397
POWELL,4,15,1.139272914025844,0.09375,360.05402450001566,8,22810
