optimizer,graph_id,p,energy,prob_opt,time,nit,nfev
SLSQP,0,1,-2.5937285732882795,0.0009765625,5.784474200000659,80,2481
SLSQP,0,2,-3.2407331353863884,0.0,16.104308500000116,121,4962
SLSQP,0,3,-0.5530172943008959,0.0,9.103935699999964,43,2183
SLSQP,0,4,-2.125632646549715,0.0,50.5753681999995,197,12018
SLSQP,0,5,-1.4106604625788863,0.0029296875,74.9356929000005,220,15621
SLSQP,0,6,-0.9766853483769836,0.0009765625,87.97047549999934,188,15229
SLSQP,0,7,0.6836824404315802,0.0,172.86249810000027,308,28029
SLSQP,0,8,-0.9230502230267016,0.0,228.1880689,339,34240
SLSQP,0,9,-0.3730715380339874,0.0,216.0216117,228,25309
SLSQP,0,10,-0.4797118508825403,0.0009765625,243.4881045000002,168,20318
SLSQP,0,11,-1.311997120402628,0.0,685.3432430000012,410,53711
SLSQP,0,12,-0.9918804536903508,0.0,877.3780626000007,495,69796
SLSQP,0,13,0.3464028940605953,0.0,105.36024029999862,52,7842
SLSQP,0,14,-0.3365409289140049,0.0009765625,1197.9571782000005,522,84043
SLSQP,0,15,-0.3639239832196823,0.0,328.31128080000053,128,21878
SLSQP,1,1,0.6576283824456759,0.0,9.195504100000107,90,2791
SLSQP,1,2,-1.6292066608099374,0.00390625,20.083857099998568,116,4757
SLSQP,1,3,-0.7207100323969207,0.0205078125,37.6344425999996,144,7345
SLSQP,1,4,-0.533817865142099,0.0009765625,63.83040059999985,176,10737
SLSQP,1,5,-0.1917370495653826,0.0,86.26322309999887,179,12710
SLSQP,1,6,-0.4556861614731436,0.0048828125,164.91254870000012,265,21466
SLSQP,1,7,-0.7951127161898917,0.005859375,237.70060750000084,307,27938
SLSQP,1,8,-0.4327288336315161,0.0078125,317.65013050000016,336,33937
SLSQP,1,9,-0.7058894158520055,0.0107421875,433.4558895999999,382,42403
SLSQP,1,10,-0.5326333795860142,0.01171875,68.48666339999909,51,6172
SLSQP,1,11,-0.7224420279937677,0.00390625,132.29838530000052,85,11132
SLSQP,1,12,-0.4964061660049741,0.0048828125,916.1389010999992,498,70219
SLSQP,1,13,-0.4812992708780418,0.0009765625,868.4363949999988,523,78974
SLSQP,1,14,-0.5987277743785091,0.0029296875,1240.3600212,530,85331
SLSQP,1,15,-0.4977571659104425,0.0048828125,1603.1617290000013,608,103969
SLSQP,2,1,0.5319836694977896,0.0,3.760572899998806,36,1103
SLSQP,2,2,-1.2605110528803185,0.0009765625,20.047910799999958,115,4716
SLSQP,2,3,-0.0076819110952894,0.0,39.12484609999956,151,7702
SLSQP,2,4,-0.1238026440317197,0.0,68.31068379999851,188,11469
SLSQP,2,5,0.0001675026427621,0.001953125,115.48611679999884,238,16899
SLSQP,2,6,0.4468853710192344,0.0,48.10179119999884,78,6306
SLSQP,2,7,0.2970039560616313,0.0068359375,114.2972606000003,148,13458
SLSQP,2,8,0.1002754137904045,0.0009765625,329.14979440000025,350,35351
SLSQP,2,9,-0.3196405202919871,0.0029296875,284.0458151999992,249,27638
SLSQP,2,10,-0.1320545114152316,0.005859375,524.016346299999,389,47070
SLSQP,2,11,-0.0537111958973591,0.0029296875,142.28382840000268,90,11780
SLSQP,2,12,-0.1051484143600603,0.0,721.3506660999992,391,55132
SLSQP,2,13,-0.0463133426803743,0.0,2.017399200001819,1,152
SLSQP,2,14,0.074941760439686,0.001953125,686.3911689000015,337,54258
SLSQP,2,15,0.1269994156959729,0.001953125,623.9192805999992,235,40175
SLSQP,3,1,2.189993502444843,0.0009765625,4.854501199999504,41,1272
SLSQP,3,2,3.1454896416870213,0.013671875,23.947316200003115,126,5167
SLSQP,3,3,1.9326281559718472,0.00390625,45.07424289999835,161,8212
SLSQP,3,4,1.196285248803865,0.0029296875,81.29631000000154,210,12811
SLSQP,3,5,3.128952458647274,0.0,105.9026430999984,203,14414
SLSQP,3,6,1.75705787508347,0.0146484375,27.958149800000683,43,3484
SLSQP,3,7,3.739202650175711,0.00390625,248.5746571000018,307,27938
SLSQP,3,8,1.9628811068127996,0.0107421875,232.51598620000004,236,23837
SLSQP,3,9,2.497396231931362,0.01171875,188.1436978999991,160,17750
SLSQP,3,10,2.168533217030663,0.0029296875,602.323906499998,433,52394
SLSQP,3,11,2.819351940748409,0.0009765625,749.9556964000003,464,60785
SLSQP,3,12,2.4214612428422995,0.0,566.2460732999971,304,42865
SLSQP,3,13,2.14697591419706,0.0126953125,1112.1589128999983,526,79427
SLSQP,3,14,2.375588800739893,0.001953125,769.4668672000007,317,51038
SLSQP,3,15,2.595673067876336,0.0048828125,374.48659039999984,138,23588
SLSQP,4,1,6.49449521553963,0.0048828125,10.882570300000223,82,2543
SLSQP,4,2,8.507446192650464,0.01171875,24.87224950000018,118,4839
SLSQP,4,3,8.95083083664174,0.0029296875,52.87216740000076,173,8824
SLSQP,4,4,10.43663858512659,0.0,51.93474879999849,124,7554
SLSQP,4,5,8.025079145023506,0.0,123.13336459999846,225,15976
SLSQP,4,6,8.317566425939924,0.0,197.1560838000005,283,22924
SLSQP,4,7,6.648791117998925,0.00390625,243.3545180000001,283,25754
SLSQP,4,8,7.29330886462956,0.0029296875,81.86505310000211,100,10090
SLSQP,4,9,7.93826355361553,0.001953125,379.49619240000175,384,42625
SLSQP,4,10,7.386076602343943,0.00390625,370.7292396000012,253,30614
SLSQP,4,11,7.56229230795875,0.009765625,605.5417669000017,361,47292
SLSQP,4,12,7.494463345795768,0.0009765625,654.9942421000014,343,48364
SLSQP,4,13,7.6321223604276,0.0009765625,1099.0262248,505,76256
SLSQP,4,14,6.90492150858537,0.0087890625,502.04759710000144,205,32995
SLSQP,4,15,7.205332835372577,0.0048828125,1045.2497444,380,64981
