optimizer,graph_id,p,energy,prob_opt,time,nit,nfev
SPSA,0,1,-8.844029499025762,0.9912109375,7.591121800011024,1200,2400
SPSA,0,2,-8.98412082304838,0.9970703125,19.565846299985424,2456,4912
SPSA,0,3,-8.072044923541222,0.40625,35.284583899978315,3643,7286
SPSA,0,4,-8.949654781600454,0.9521484375,15.689554000011412,1375,2750
SPSA,0,5,-8.775917899936097,0.9697265625,22.646126899984665,1743,3486
SPSA,0,6,-5.318660413778619,0.0,2.2789569000015035,132,264
SPSA,0,7,-6.810437156222241,0.025390625,7.910646699980134,469,938
SPSA,0,8,-7.04467079075228,0.001953125,35.323425800015684,1979,3958
SPSA,0,9,-5.7072124277148175,0.0009765625,12.398015100014163,615,1230
SPSA,0,10,-8.26337250078303,0.701171875,73.81294669999625,3540,7080
SPSA,0,11,-8.947697901884348,0.9833984375,127.22200670000166,5719,11438
SPSA,0,12,-8.795711662199022,0.96875,82.26966089999769,3466,6932
SPSA,0,13,-7.468957550925208,0.5537109375,74.73509030000423,2951,5902
SPSA,0,14,-5.5607816261375085,0.0,43.02046800000244,1594,3188
SPSA,0,15,-5.090840881146523,0.0107421875,25.64504370000213,886,1772
SPSA,1,1,-3.458264441630761,0.005859375,0.4713516999909188,46,92
SPSA,1,2,-5.005292226275881,0.99609375,15.496808900003089,1824,3648
SPSA,1,3,-4.16554072070242,0.5185546875,1.5944250999891665,135,270
SPSA,1,4,-3.113748971992379,0.1513671875,1.4925443999818526,104,208
SPSA,1,5,-5.040993939797225,0.9892578125,69.6216499999864,5272,10544
SPSA,1,6,-4.965312306508959,0.9765625,16.759870600013528,1121,2242
SPSA,1,7,-3.38500561665558,0.275390625,6.382645000005141,371,742
SPSA,1,8,-4.8277751336991335,0.9443359375,41.06343300000299,2288,4576
SPSA,1,9,-1.8677111976342733,0.03515625,4.352526000002399,200,400
SPSA,1,10,-1.1542921395696646,0.015625,2.832181999983732,113,226
SPSA,1,11,-0.6324134411899474,0.0068359375,1.6688167999964207,48,96
SPSA,1,12,-1.1286532277900732,0.0048828125,5.952909200015711,221,442
SPSA,1,13,-2.109557288659672,0.1484375,34.56865290002315,1323,2646
SPSA,1,14,-1.2595098868745411,0.0068359375,16.334334199986188,578,1156
SPSA,1,15,-0.6983033772734911,0.0,2.9220482999808155,74,148
SPSA,2,1,-3.422276201280655,0.0234375,2.3442903000104707,322,644
SPSA,2,2,-3.967984984812972,0.0,5.030235200014431,568,1136
SPSA,2,3,-4.984684338159704,0.9794921875,7.974059200001648,770,1540
SPSA,2,4,-3.9616637105545967,0.001953125,5.49342029998661,445,890
SPSA,2,5,-4.963803491775507,0.9892578125,18.37509859999409,1371,2742
SPSA,2,6,-4.393789944187952,0.3681640625,13.44575199999963,879,1758
SPSA,2,7,-3.2019033865651783,0.0,6.676563599990914,383,766
SPSA,2,8,-3.84754038614441,0.0,23.01059940000414,1258,2516
SPSA,2,9,-3.870977162286205,0.55859375,32.68093790000421,1669,3338
SPSA,2,10,-1.2517508833571966,0.0224609375,5.698665600008098,247,494
SPSA,2,11,-0.8567938810316291,0.0,8.045011799986241,331,662
SPSA,2,12,-0.0126293786127848,0.0009765625,0.8078912999772001,7,14
SPSA,2,13,-0.5066707714932419,0.021484375,4.618593399995007,158,316
SPSA,2,14,-1.233777757975881,0.005859375,24.840975400002208,890,1780
SPSA,2,15,-1.4922114331883851,0.0361328125,37.58362620000844,1281,2562
SPSA,3,1,-4.011594122257613,0.9873046875,6.840928699995857,891,1782
SPSA,3,2,-1.931187908053894,0.025390625,1.5390382999903522,141,282
SPSA,3,3,-2.856469294873371,0.0048828125,4.647649000020465,409,818
SPSA,3,4,-3.784080779563895,0.84375,17.03479640002479,1352,2704
SPSA,3,5,-3.098276206432605,0.17578125,12.042926099995384,835,1670
SPSA,3,6,0.7257933926670147,0.009765625,0.9733405000006314,40,80
SPSA,3,7,-2.718258507474598,0.005859375,34.88833859999431,2014,4028
SPSA,3,8,-1.9726826990691315,0.02734375,13.647440400003688,711,1422
SPSA,3,9,-2.7213025786827005,0.6357421875,23.26254090000293,1129,2258
SPSA,3,10,-0.5199201127098259,0.0029296875,8.25901929999236,351,702
SPSA,3,11,-2.77551951984359,0.41015625,39.73871489998419,1712,3424
SPSA,3,12,-0.6908132007512442,0.0029296875,24.80700299999444,982,1964
SPSA,3,13,-3.3248351049244094,0.8525390625,114.06317060001312,4318,8636
SPSA,3,14,0.815210797350451,0.0068359375,15.289598100003786,517,1034
SPSA,3,15,-0.9641140034099784,0.060546875,63.38957309999387,2106,4212
SPSA,4,1,-1.5707966815295835,0.0029296875,3.405154499982018,374,748
SPSA,4,2,-2.349602777377288,0.5029296875,5.020029599982081,474,948
SPSA,4,3,-1.8398248216850184,0.0,5.936471499997424,480,960
SPSA,4,4,-2.7359526405079784,0.779296875,6.0510001000075135,433,866
SPSA,4,5,-2.2005313570002083,0.4150390625,14.809268699988024,971,1942
SPSA,4,6,-2.334271884537122,0.625,31.29997960000765,1856,3712
SPSA,4,7,5.175065073696826,0.0048828125,1.0041331999818794,33,66
SPSA,4,8,-2.9429298470617584,0.9833984375,45.98665569999139,2328,4656
SPSA,4,9,-2.3555760754463493,0.62109375,29.448622299998533,1358,2716
SPSA,4,10,-2.347267108397258,0.4853515625,70.34348890002002,3083,6166
SPSA,4,11,1.139907102745184,0.0615234375,29.527075099991634,1210,2420
SPSA,4,12,-0.5144332690103113,0.0537109375,28.052906099997927,1082,2164
SPSA,4,13,-1.836503257726943,0.0,111.67874370000207,4103,8206
SPSA,4,14,4.780307394255515,0.0234375,12.828175600006944,418,836
SPSA,4,15,1.5696121398369798,0.0625,54.46570950001478,1774,3548
